file_name,transcript,label,sentence_type
6_1_d203.wav,"Do you want noodles, vegetables, rice, meat, seafood, beans, or dessert?",question,verb_start
6_0_d1509.wav,I'd like to come back next weekend.,inform,statement
5_0_d1163.wav,Do you have your member card with you?,question,verb_start
11_1_d138.wav,Thanks. I’ll be sitting over there.,commissive,statement
11_1_d2020.wav,"Yes, I think so. It doesn’t close until five o’clock. You still have plenty of time.",inform,statement
7_1_d1159.wav,"Don’t mix alcohol with this medication, but you can take it with or without food.",directive,verb_start
0_1_d2517.wav,"Hey, look out!",directive,exclamation
0_0_d2020.wav,"Excuse me, is this the way to the Great Wall?",question,verb_start
6_1_d2412.wav,"Thank you, see you then.",inform,verb_start
2_1_d674.wav,Did you bring that from home?,question,verb_start
0_0_d2382.wav,"Julia, I saw two men fighting beside our door this morning.",inform,statement
1_1_d1804.wav,They must have practiced a lot. The perseverance has made them they are today.,inform,statement
6_0_d2392.wav,"OK, let’s do that then!",commissive,exclamation
3_1_d560.wav,"Yes, me too. I think I’ve lost some important clients recently because of this train!",inform,exclamation
1_0_d1668.wav,You should go to the dentist.,directive,statement
5_1_d1994.wav,"Ok, I'll have it for a change.",commissive,statement
9_1_d2454.wav,"Oh yeah, when I do that, it hurts a lot more!",inform,exclamation
0_1_d1755.wav,"Excuse me, can I order now, please?",directive,verb_start
8_1_d611.wav,Is this your first time to come to a symphony concert?,question,verb_start
10_0_d638.wav,Give me a break. It's not funny.,inform,verb_start
13_1_d2490.wav,"Nobody is OK, but you!",inform,exclamation
7_1_d784.wav,You mean I have to wear the same thing every day? MOM!,question,exclamation
6_1_d980.wav,"I hope so, too. Thank you, Jim. Thank you for everything.",inform,statement
11_0_d2118.wav,I could stand to lose a few pounds. Having a car has made me lazy. I never end up walking anywhere!,inform,exclamation
0_0_d412.wav,"Where are you going, Jane?",question,question
13_0_d1191.wav,Thank you. And goodbye.,inform,verb_start
1_0_d1086.wav,"Spacious, bright and clean. And the walls were newly painted.",inform,statement
2_1_d1582.wav,Yes.,inform,statement
4_0_d721.wav,No way! Do you have a flavors you don't like?,question,question
2_1_d732.wav,Unbelievable! Parking in this city is such a nightmare!,inform,exclamation
6_1_d1502.wav,Yes. Are you traveling here?,question,question
3_1_d2288.wav,Ahh! Now that's more like it. Atmosphere!,inform,exclamation
3_0_d381.wav,Of course not. But I don't know when to get off.,commissive,statement
5_0_d2007.wav,How much is it?,question,question
6_0_d944.wav,"I agree, how much?",question,question
2_0_d1681.wav,Isn't there any coach to teach you how to ski?,question,verb_start
9_1_d1307.wav,Are your prices negotiable?,directive,verb_start
4_0_d1929.wav,What do you need help with?,question,question
