sample_id,label,sentence,input_ids_len,text_embedding_shape,text_embedding_norm,prompt_char_length
0,declarative,"Hello, Jane. I'm really glad to meet you here.",234,"(1, 234, 3072)",0.0990227535367012,997
1,declarative,I heard you and James are engaged at last.,231,"(1, 231, 3072)",0.09918279200792313,993
2,imperative,"Give me scotch, please.",229,"(1, 229, 3072)",0.09942147135734558,974
3,interrogative,"Hi, what brings you to my office today?",231,"(1, 231, 3072)",0.09927999973297119,990
4,imperative,Please help yourself at your dishes. I hope you’ll enjoy what you’ve got.,238,"(1, 238, 3072)",0.09747152030467987,1024
5,declarative,"Hello, Jack here.",226,"(1, 226, 3072)",0.09991327673196793,968
6,imperative,Excuse me. I wonder if you can help me.,233,"(1, 233, 3072)",0.09888806939125061,990
7,interrogative,"Umm, Jenny, are you having a good time?",233,"(1, 233, 3072)",0.09950170665979385,990
8,imperative,"Excuse me. I bought this shirt yesterday, but I would like to refund it.",239,"(1, 239, 3072)",0.09837120771408081,1023
9,exclamatory,Watch out! You're too close to the fire place.,233,"(1, 233, 3072)",0.0986146554350853,997
10,imperative,Come on! It's time to go!,230,"(1, 230, 3072)",0.09906625747680664,976
11,imperative,"Give me some glasses please, Jane.",229,"(1, 229, 3072)",0.09899941086769104,985
12,exclamatory,Look what you've done!,227,"(1, 227, 3072)",0.098737932741642,973
13,imperative,"Come on, darling. We haven't got much time.",235,"(1, 235, 3072)",0.09850852191448212,994
14,declarative,"Wake up, Mary.",226,"(1, 226, 3072)",0.09978650510311127,965
15,imperative,"Give me a book please, Jane.",229,"(1, 229, 3072)",0.0995844155550003,979
16,declarative,You don’t look like enjoying this workout.,230,"(1, 230, 3072)",0.09804384410381317,993
17,declarative,"Believe it or not, tea is the most popular beverage in the world after water.",239,"(1, 239, 3072)",0.09872172772884369,1028
18,imperative,Excuse me.,225,"(1, 225, 3072)",0.09937180578708649,961
19,imperative,"Come on, you must tell me everything about him.",232,"(1, 232, 3072)",0.09925241023302078,998
20,declarative,"Excuse me. I'm your new neighbor, Jack. Umm I just moved in.",240,"(1, 240, 3072)",0.0983981192111969,1011
21,imperative,"Look, it's all water over the dam now. Let's leave it behind us.",239,"(1, 239, 3072)",0.09884270280599594,1015
22,imperative,"Turn on the TV, please.",228,"(1, 228, 3072)",0.09999793022871017,974
23,imperative,Please come in!,225,"(1, 225, 3072)",0.09958227723836899,966
24,declarative,Try it on in front of the mirror.,230,"(1, 230, 3072)",0.09976796060800552,984
25,imperative,Listen to this. Mary got married.,229,"(1, 229, 3072)",0.09917262941598892,984
26,declarative,It's very kind of you to show me around.,232,"(1, 232, 3072)",0.09919779002666473,991
27,imperative,Want to join me for a midnight snack? I need to grab something to eat.,238,"(1, 238, 3072)",0.09815942496061325,1021
28,declarative,Excuse me? Umm I didn't hear what you said.,235,"(1, 235, 3072)",0.09751153737306595,994
29,imperative,"Excuse me, I wonder if you can help me.",233,"(1, 233, 3072)",0.09910251945257187,990
30,declarative,"Excuse me. I am looking for a book called Little Women, but I can't find it anywhere.",243,"(1, 243, 3072)",0.0978577733039856,1036
31,declarative,Don't worry. I'm sure you'll do better next time.,235,"(1, 235, 3072)",0.09771106392145157,1000
32,imperative,"Let me see your passport, please.",229,"(1, 229, 3072)",0.09924143552780151,984
33,interrogative,What's your name?,226,"(1, 226, 3072)",0.09922940284013748,968
34,imperative,"Come on, Mary. We have to do the laundry.",233,"(1, 233, 3072)",0.09975694864988327,992
35,imperative,"Excuse me. Umm I'd like to check out, please.",236,"(1, 236, 3072)",0.09885315597057343,996
36,imperative,"Look, that bamboo groves are flourishing. Let's go and play there.",238,"(1, 238, 3072)",0.09793251752853394,1017
37,declarative,Let's go to the animal shelter.,229,"(1, 229, 3072)",0.09910143911838531,982
38,declarative,"Excuse me Miss, my friend is sick.",231,"(1, 231, 3072)",0.09866759181022644,985
39,exclamatory,See? That wasn't so bad.,229,"(1, 229, 3072)",0.09838148951530457,975
40,imperative,Let's do something really nice for our family this Christmas.,233,"(1, 233, 3072)",0.09817304462194443,1012
41,imperative,Excuse me!,225,"(1, 225, 3072)",0.0990259051322937,961
42,imperative,Please lend me some money.,227,"(1, 227, 3072)",0.09884230047464371,977
43,imperative,"Excuse me, driver. Let me off here, please.",234,"(1, 234, 3072)",0.09949733316898346,994
44,imperative,"Look, George, There's the Great Wall.",231,"(1, 231, 3072)",0.09943428635597229,988
45,declarative,"Look, Jim. That man just fell down over there.",233,"(1, 233, 3072)",0.09896813333034515,997
46,declarative,"Let me suggest this one. It's an excellent watch, it looks good, and it's only hundred dollars.",244,"(1, 244, 3072)",0.09863597899675369,1046
47,imperative,Guess what I've brought for you.,229,"(1, 229, 3072)",0.09907916188240051,983
48,declarative,"Look at the catalogue, John. I think I want to get this red blouse.",239,"(1, 239, 3072)",0.09882933646440506,1018
49,declarative,Look! There's even a built-in handle to carry it with.,235,"(1, 235, 3072)",0.09865424782037735,1005
