text,label
and confirm that address for me please ,statement
it's from Birmingham to em London Euston please ,statement
the 8th of October ,statement
i'd like to leave on the 7:33 train ,statement
is that Birmingham New Street ,question
do you hold a current debit or credit card ,question
 do you have a rail card ,question
would you like smoking or non-smoking ,question
let's say   half 3 in the afternoon ,command
 let me think ,command
the Saturday which is the 3rd i think ,command
i'm not sure what time the trains are ,command
he is going,question
