file_name,transcript,label
0_1_d0.wav,What are you working on?,question
1_0_d0.wav,I'm figuring out my budget.,statement
2_1_d0.wav,Umm…. What budget?,question
3_0_d0.wav,"I'm making a shopping budget, so that I don't spend too much money.",statement
4_1_d0.wav,How much money can you spend?,question
5_0_d0.wav,I can only spend three hundred dollars a month.,statement
6_1_d0.wav,Why only three hundred dollars?,question
7_0_d0.wav,I need to save the rest.,statement
8_1_d0.wav,For what?,question
9_0_d0.wav,I need to pay my bills.,statement
10_1_d0.wav,Your budget is a good idea.,statement
11_0_d0.wav,"I know. It's going to save me a lot of money, I hope.",statement
0_0_d1.wav,"Well, how does it look?",question
1_1_d1.wav,It's a perfect fit.,statement
2_0_d1.wav,Let me pay for it now.,directive
3_1_d1.wav,"Cash, credit card, or debit card?",question
4_0_d1.wav,Umm I think I'll use my credit card.,statement
5_1_d1.wav,"Your signature here, please, and we're finished.",directive
6_0_d1.wav,Here's my John Hancock.,commissive
7_1_d1.wav,Bye-bye. Visit us again soon!,commissive
0_0_d2.wav,Hello. Overseas operator. May I help you?,question
1_1_d2.wav,Yes. I'd like to make a collect call to Japan.,directive
2_0_d2.wav,"Your name, please?",directive
3_1_d2.wav,It's Helen Kent.,commissive
4_0_d2.wav,Who would you like to talk to?,question
5_1_d2.wav,I'd like to talk to Mr. Edna Kent.,statement
6_0_d2.wav,Is that Mr. Edna Kent?,question
7_1_d2.wav,That's right.,statement
8_0_d2.wav,"What number are you calling from, please?",directive
9_1_d2.wav,From code five one three four three two six seven four eight.,commissive
10_0_d2.wav,"And the number in Japan, please?",directive
11_1_d2.wav,"Country code is eighty one, area code on ethirty eight, and the number is eight four six eight nine seven two.",commissive
12_0_d2.wav,"Hold the line, please. I'll put your call through.",directive
0_1_d3.wav,Did you bring some lunch with you?,question
1_0_d3.wav,"Yes, I packed it myself.",statement
2_1_d3.wav,"Wow, that looks beautiful.",statement
3_0_d3.wav,"It's my health-conscious lunch, good for my health and beauty.",statement
4_1_d3.wav,"Umm, I might try it myself.",statement
0_0_d4.wav,"Good morning, Miss Wang. How beautiful you look today!",statement
1_1_d4.wav,Thank you. I'm wearing make-up.,statement
2_0_d4.wav,Who taught you to put on make-up?,question
3_1_d4.wav,It's me. I have studied make-up at a beauty shop.,statement
4_0_d4.wav,Can you teach me how to do make-up?,question
5_1_d4.wav,"Of course. First, use eye shadow to heighten your eyes.",statement
