sample_id,file_name,label,speech_only_input_ids_len,speech_text_input_ids_len,speech_only_text_embedding_shape,speech_text_text_embedding_shape,speech_only_audio_feature_shape,speech_text_audio_feature_shape,speech_only_audio_keys,speech_text_audio_keys,text_embedding_cosine_speech_only_vs_speech_text,audio_feature_cosine_speech_only_vs_speech_text,audio_feature_mean_abs_diff
0,0_0_d45.wav,declarative,241,257,"(1, 241, 2048)","(1, 257, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9909940958023071,1.0,0.0
1,0_0_d47.wav,declarative,282,295,"(1, 282, 2048)","(1, 295, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9951087236404419,1.0,0.0
2,0_0_d215.wav,imperative,218,228,"(1, 218, 2048)","(1, 228, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9921225309371948,0.9999998807907104,0.0
3,0_0_d49.wav,interrogative,259,272,"(1, 259, 2048)","(1, 272, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9938087463378906,1.0000001192092896,0.0
4,0_0_d159.wav,imperative,291,311,"(1, 291, 2048)","(1, 311, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9941189289093018,1.0000001192092896,0.0
5,0_0_d50.wav,declarative,214,222,"(1, 214, 2048)","(1, 222, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9925559163093567,1.0,0.0
6,0_0_d403.wav,imperative,236,251,"(1, 236, 2048)","(1, 251, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9907379746437073,1.0,0.0
7,0_0_d63.wav,interrogative,263,278,"(1, 263, 2048)","(1, 278, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.992263913154602,1.0,0.0
8,0_0_d681.wav,imperative,321,342,"(1, 321, 2048)","(1, 342, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9957740902900696,1.0,0.0
9,0_0_d684.wav,exclamatory,247,262,"(1, 247, 2048)","(1, 262, 2048)","(1, 128, 30000)","(1, 128, 30000)","['feature_attention_mask', 'input_features']","['feature_attention_mask', 'input_features']",0.9924286007881165,1.0,0.0
