file_name,transcript,label
0_0_d4.wav,"Good morning, Miss Wang. How beautiful you look today!",inform
0_0_d127.wav,I don't know what to do about the people who live in the flat above me!,inform
0_0_d137.wav,You didn't show up to my performance last night! Some kind of friend you are!,inform
0_0_d189.wav,Taxi!,directive
0_0_d207.wav,Wow! I can't believe I'm standing here!,inform
0_0_d221.wav,Bonjour!,inform
0_0_d365.wav,Good morning!,inform
0_0_d368.wav,"I really don't know how to break this to you, but it’s eating me alive!",inform
0_0_d456.wav,"Hello, Zhang lin! Fancy meeting you here!",inform
0_0_d495.wav,I've got some great news for you!,directive
0_0_d547.wav,What a hot day!,inform
0_0_d609.wav,"How about going to dance this evening, Jane? You will find that the night life of this city is very interesting!",directive
0_0_d632.wav,The weather in Beijing is just beautiful!,inform
0_0_d636.wav,"OK, Hello!",inform
0_0_d704.wav,Come on! It's time to go!,directive
0_0_d721.wav,I have never seen so many flavors of ice cream in one place!,inform
0_0_d756.wav,Look what you've done!,inform
0_0_d758.wav,"Ashley, what a great dinner party!",inform
0_0_d775.wav,Whoa! This is a massive flea market!,inform
0_0_d788.wav,What are we going to do? I can't get the car out of this ditch. I'm stuck!,question
0_0_d820.wav,"What an attractive blouse, You look so pretty in this blue dress!",inform
0_0_d852.wav,Hello!,inform
0_0_d880.wav,Guess what! I know something you don't know!,inform
0_0_d892.wav,"Mary, it's good to see you!",inform
0_0_d896.wav,"Whoa, look at all those ice cream choices!",inform
0_0_d931.wav,What a great weekend that was!,inform
0_0_d944.wav,How nice these sunglasses are!,inform
0_0_d964.wav,They're here! Now that's speedy service! And they arrived within two days of each other!,inform
0_0_d1078.wav,May I help you? Miss!,question
0_0_d1089.wav,I’ve just found a mouse in the house!,inform
0_0_d1144.wav,"My word, you do look ill!",inform
0_0_d1181.wav,"What a nice dress, Jean. You look marvelous!",inform
0_0_d1243.wav,"Hi, Sophie! Long time no see!",inform
0_0_d1249.wav,Taxi!,directive
0_0_d1266.wav,Yes! I finally lost that last five pounds I've been working on forever!,inform
0_0_d1275.wav,Cheer!,inform
0_0_d1282.wav,Great. The bed is exactly what I have been looking for!,inform
0_0_d1321.wav,Please come in!,directive
0_0_d1329.wav,There are so many people that the tickets are all sold out!,inform
0_0_d1352.wav,Cool! Flashy red lines!,inform
0_0_d1421.wav,What a nice uniform!,inform
0_0_d1456.wav,You didn't tell me she was married!,inform
0_0_d1483.wav,Hi! Do you know what's for dinner? I'm starving!,question
0_0_d1497.wav,"Hey, Taxi. Over here!",directive
0_0_d1503.wav,How nice these frames are!,inform
0_0_d1509.wav,What a great weekend that was!,inform
0_0_d1557.wav,Hello. Welcome!,inform
0_0_d1601.wav,Oh! My mouth is on fire!,inform
0_0_d1621.wav,Taxi! Taxi!,directive
0_0_d1702.wav,Taxi!,directive
0_0_d1730.wav,You look great!,inform
0_0_d1891.wav,"Oh, my god!",inform
0_0_d1909.wav,How beautiful the flower is!,inform
0_0_d1914.wav,Stewardess!,inform
0_0_d1915.wav,How beautiful the flower is!,inform
0_0_d1921.wav,There are so many flavors of ice cream to choose from!,inform
0_0_d1924.wav,Hello!,inform
0_0_d1949.wav,"Umm I want to change rooms. In fact, I want a refund for tonight!",directive
0_0_d2048.wav,Good afternoon!,inform
0_0_d2060.wav,"Hello, excuse me!",inform
0_0_d2084.wav,I'm famished! Let's get some grub!,directive
0_0_d2158.wav,Merry Christmas!,inform
0_0_d2196.wav,Hello!,inform
0_0_d2203.wav,How happy you are! Next Monday is your wedding day. Congratulations!,inform
0_0_d2216.wav,I hate this kind of weather!,inform
0_0_d2217.wav,"Donna, you really shocked everyone at the party last night!",inform
0_0_d2222.wav,I can’t believe it!,inform
0_0_d2253.wav,"Mary, I will have an interview tomorrow. I am so excited!",inform
0_0_d2259.wav,Taxi!,directive
0_0_d2288.wav,You bet it is. And we got four thousand for our car space! Awesome!,inform
0_0_d2374.wav,"Taylor, you're sweating up a storm!",inform
0_0_d2388.wav,The mosquitos are biting me!,inform
0_0_d2409.wav,Ahahah! What is that thing on your couch! It just moved!,question
0_0_d2420.wav,That is the most beautiful sunset!,inform
0_0_d2436.wav,Linda? Is that you? I haven't seen you in ages!,question
0_0_d2442.wav,"Hello, Rebecca, fancy meeting you here!",inform
0_0_d2463.wav,What a wonderful sight!,inform
0_0_d2478.wav,I want to lose some weight!,inform
0_0_d2508.wav,My stomach's growling again!,inform
0_1_d10.wav,"Hello, Tom!",inform
0_1_d71.wav,Excuse me!,inform
0_1_d91.wav,"Bill, Happy Halloween!",inform
0_1_d100.wav,"Good morning, Paul!",inform
0_1_d116.wav,How slowly you drive!,inform
0_1_d139.wav,"You're right--Italian! Ha! Ha! I was trying to trick you, but you didn't fall for it!",inform
0_1_d296.wav,Happy new year!,inform
0_1_d398.wav,"Hey, Jim. Wake up!",directive
0_1_d446.wav,"Hi, Jason!",inform
0_1_d487.wav,This bloody computer!,inform
0_1_d491.wav,"Oh, no!",inform
0_1_d493.wav,"Tom, we are in the restaurant now!",inform
0_1_d564.wav,"Brad, wait!",inform
0_1_d627.wav,It's very cold tonight!,inform
0_1_d732.wav,Excuse me! I don't have time to waste. I've been here almost one full hour!,inform
0_1_d741.wav,"Waiter, a menu please!",directive
0_1_d755.wav,"Hey, that’s a very nice hairdo you’re wearing!",inform
0_1_d823.wav,Ahhs! I'm beat!,inform
0_1_d869.wav,Bob!,inform
0_1_d881.wav,Steward!,directive
0_1_d914.wav,Hello!,inform
0_1_d942.wav,My mascara's waterproof!,inform
0_1_d970.wav,Long time no see!,inform
0_1_d972.wav,Good afternoon!,inform
0_1_d1022.wav,"Morning, Bob. Fancy meeting you here!",inform
0_1_d1092.wav,"Welcome, Ron, come on in!",inform
0_1_d1183.wav,My goodness! You’re kidding!,inform
0_1_d1248.wav,I decided to give it a go!,inform
0_1_d1478.wav,I'm so hungry! I haven't late eaten all day!,inform
0_1_d1506.wav,What a wonderful game!,inform
0_1_d1532.wav,"Happy birthday, Aims!",inform
0_1_d1618.wav,Come on. Plenty of rooms upstairs. Fares please!,directive
0_1_d1647.wav,Welcome to our bar!,inform
0_1_d1712.wav,Welcome!,inform
0_1_d1762.wav,"Come on, you are left behind!",inform
0_1_d1775.wav,"Boy, come here!",directive
0_1_d1813.wav,I can't even imagine you snorkeling!,inform
0_1_d1823.wav,What a beautiful sweater!,inform
0_1_d1877.wav,This is exciting! Thank you so much!,inform
0_1_d1917.wav,"Good morning, Mr. Jones!",inform
0_1_d1939.wav,"And lightweight, too. It'll play for twenty hours on two AA batteries!",inform
0_1_d1988.wav,"Good morning, Doctor!",inform
0_1_d2014.wav,I want a refund!,directive
0_1_d2057.wav,My baggage is missing!,inform
0_1_d2081.wav,"Here we are, Ryan! This is where we're going to celebrate!",inform
0_1_d2107.wav,Guess what? I've got great news!,question
0_1_d2111.wav,"Hello, Anna speaking!",inform
0_1_d2159.wav,What a beautiful day!,inform
0_1_d2325.wav,"Umm, Waiter!",directive
0_1_d2375.wav,What!,question
0_1_d2517.wav,"Hey, look out!",directive
0_1_d2521.wav,"Hey, Mr. Brown. How are you? Look at that smile on your face!",question
0_1_d2529.wav,"My dear, it's five flights up!",inform
1_0_d10.wav,"Hello, Skylar!",inform
1_0_d12.wav,What a shame!,inform
1_0_d212.wav,You don't know what you are asking!,commissive
1_0_d243.wav,How terrible!,inform
1_0_d390.wav,"Eighty-five dollars. If my bid is the highest after three more days, I win! It's fun!",inform
1_0_d450.wav,You scared me!,inform
1_0_d491.wav,How dreadful!,inform
1_0_d566.wav,"Wow, what a great burd!",inform
1_0_d603.wav,Congratulations. That's great!,inform
1_0_d657.wav,That's great!,inform
1_0_d661.wav,Yes. What a good job we have done!,inform
1_0_d746.wav,"To be honest, I'm really fed up with work at the moment. I need a break!",inform
1_0_d823.wav,What happened to you? You look like you got hit by a tornado!,question
1_0_d946.wav,"Oh, great!",inform
1_0_d1022.wav,"Morning, Jenny. Haven't seen you for ages!",inform
1_0_d1076.wav,Lamb and beef. It will get even tastier when we add the veggies!,inform
1_0_d1092.wav,"Hi, Malia! What a nice home!",inform
1_0_d1200.wav,"Oh my gosh, how exciting!",inform
1_0_d1258.wav,It's my pleasure!,commissive
1_0_d1391.wav,I’m glad you like them. Happy birthday!,inform
1_0_d1440.wav,No!,commissive
1_0_d1478.wav,"Take your mind off it. Look, Crys. This magazine is on China's top ten beauties!",directive
1_0_d1729.wav,"Oh, yes!",inform
1_0_d1826.wav,"I agree, I think that that would be perfect!",commissive
1_0_d1846.wav,"Yep. And it breathes, see!",inform
1_0_d1855.wav,Let me guess. You want to watch the History Channel again!,question
1_0_d1860.wav,You're really sporty!,inform
1_0_d1917.wav,"Good morning, Miss Bell!",inform
1_0_d1937.wav,What a great idea!,commissive
1_0_d1939.wav,Cool! The sound is great. These earphones are awesome!,inform
1_0_d2031.wav,It's Clive of course. Where did you come from? Every girl knows Clive!,inform
1_0_d2192.wav,Very interesting!,inform
1_0_d2269.wav,Not really!,inform
1_0_d2351.wav,No! Umm my tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!,inform
1_1_d103.wav,"Yes. Look at these historical relics here, amazing!",inform
1_1_d108.wav,Send an ambulance fast! My husband is having a heart attack!,directive
1_1_d297.wav,Let's plan a surprise party for him!,directive
1_1_d333.wav,"Yes, I just bought a new car, I drive to work everyday!",inform
1_1_d498.wav,"So, please!",inform
1_1_d583.wav,I've said you will enjoy your life here!,inform
1_1_d636.wav,Hello!,inform
1_1_d683.wav,"You've done a lot, my darling!",inform
1_1_d707.wav,"No, but this is an emergency! Please!",inform
1_1_d734.wav,Isn't it just great? I just knew I'd win!,question
1_1_d800.wav,I'm back. My bid on the Buddha is still the highest!,inform
1_1_d805.wav,I am cooking now!,inform
1_1_d945.wav,"No, this is just my appetizer... this is my lunch!",inform
1_1_d964.wav,What are you waiting for? Rip‘em open!,question
1_1_d977.wav,"At least, it is better than my boxed lunch at work. I'm so fed up with the bland food. Thank you for having lunch with me!",inform
1_1_d1000.wav,"Oh, my bread!",inform
1_1_d1044.wav,That's a wonderful way to celebrate this grand old library!,inform
1_1_d1069.wav,What a good idea!,commissive
1_1_d1206.wav,I sure did. You're in luck! It's supposed to snow all week in the mountains!,inform
1_1_d1243.wav,"Hi, Alex!",inform
1_1_d1275.wav,Cheer!,inform
1_1_d1333.wav,What is that? It looks like something from a swamp!,question
1_1_d1347.wav,Is she really? I can’t believe it!,question
1_1_d1356.wav,I had no idea how seriously that country takes soccer!,inform
1_1_d1445.wav,"It looks like you have to buy tickets for us, Jason. And we're not going to see an action movie!",inform
1_1_d1447.wav,Don't think about it!,inform
1_1_d1508.wav,"Two, I hope that by telling me about them you are planning on taking me!",inform
1_1_d1568.wav,"Actually, I don't think I can eat another bite!",commissive
1_1_d1622.wav,"Yeah, I'm glad that we didn't have to wait long. I'm starving!",inform
1_1_d1822.wav,Almost. I have to get dressed. It's a formal party and I have special party make up!,inform
1_1_d1891.wav,What!,question
1_1_d2047.wav,What a good idea!,commissive
1_1_d2203.wav,Thank you!,inform
1_1_d2304.wav,So do I. The sun... the sand... the ocean!,inform
1_1_d2327.wav,What!,question
1_1_d2329.wav,"Oh, dear!",inform
1_1_d2398.wav,I can’t sleep or eat. I have a really bad pain in my tooth!,inform
1_1_d2406.wav,I don't understand. You don't even know the 'friends' you are 'talking' to!,inform
1_1_d2436.wav,Hi George! It's good to see you!,inform
1_1_d2454.wav,My tooth is killing me!,inform
1_1_d2478.wav,So do I!,inform
2_0_d127.wav,They're incredibly selfish. They're always up until the wee hours of the night playing their music so loudly. I have to wear earplugs to fall asleep!,inform
2_0_d207.wav,I'm standing in front of an exquisite work of art!,inform
2_0_d221.wav,"I said, Bonjour!",inform
2_0_d256.wav,"You know me, if I don't like everything on the menu, I don't go back to the restaurant!",inform
2_0_d318.wav,"Hey, it is! Umm a lot of people like that movie!",inform
2_0_d333.wav,"Great! When you become a new driver, you would better drive as carefully as possible!",directive
2_0_d365.wav,"Umm I slept like a baby. I fell asleep right away last night, didn't wake up once, and didn't have any nightmares!",inform
2_0_d475.wav,"He completed the first two hundred, four hundred double in Olympic history!",inform
2_0_d500.wav,"Well, I've grown to like second-hand things. I wouldn't have gotten through university without them!",inform
2_0_d502.wav,Yes. It looks terrific!,inform
2_0_d648.wav,What a nostalgic food!,inform
2_0_d658.wav,"Just relax. With me as your maid of honor, everything will be fine!",inform
2_0_d680.wav,Or just stuff the whole thing in your mouth at once!,inform
2_0_d684.wav,Really? That's wonderful!,question
2_0_d753.wav,I'm knee-deep in cockroaches!,inform
2_0_d756.wav,"Yes, and hurry up!",inform
2_0_d788.wav,Umm I know. This is terrible. What can we do? This snow doesn't stop falling!,question
2_0_d892.wav,I am so glad that you decided to stop by!,inform
2_0_d898.wav,Nine!,inform
2_0_d902.wav,Wow. She looks good for having had that many kids. She's pregnant and wearing Prada!,inform
2_0_d932.wav,"Just follow the foot movements. Brush left, brush right... yeah! That's it!",directive
2_0_d945.wav,A candy bar for an appetizer and a piece of pie for lunch! That's all junk!,inform
2_0_d1079.wav,You're kidding! You've always hated cooking!,inform
2_0_d1222.wav,Oh! I hate rainy days!,inform
2_0_d1245.wav,Umm what took so long? I thought your flight was supposed to arrive three hours ago!,question
2_0_d1329.wav,"Look, Danny. The Four Great Inventions!",inform
