file_name,transcript,label
0_0_d1.wav,"Well, how does it look?",question
0_0_d2.wav,Hello. Overseas operator. May I help you?,question
0_0_d5.wav,"Excuse me, could you tell me where you have got that music book?",directive
0_0_d6.wav,"Hi, this is Quipu Corporation. Is that Miss Zhang?",question
0_0_d7.wav,"Hello? This is John Smith. Can I speak to Mrs. White, please?",directive
0_0_d8.wav,Can I help you?,question
0_0_d14.wav,"Umm excuse me? Can you do me a favor, please?",directive
0_0_d20.wav,Are you ready for a second?,question
0_0_d25.wav,Are we going to have dinner tonight?,question
0_0_d39.wav,My car has broken down. Could someone come right away and check it?,directive
0_0_d40.wav,"Hi, Jenny. You look like you are in a hurry to somewhere. Where are you going?",question
0_0_d42.wav,We’re going to the movies. Will you join us?,directive
0_0_d44.wav,Is that the Japanese Restaurant?,question
0_0_d49.wav,"Hi, what brings you to my office today?",question
0_0_d63.wav,"Umm, Jenny, are you having a good time?",question
0_0_d64.wav,"Mary, can you tell me how you keep in shape?",question
0_0_d80.wav,So am I on the right road to Piccadilly Circus?,question
0_0_d81.wav,Does this hotel have a pool?,question
0_0_d83.wav,Umm how's your new job going?,question
0_0_d84.wav,How may I help you today?,question
0_0_d90.wav,I want to send some money to Nanchang. Is it handled here?,question
0_0_d92.wav,You are looking really healthy lately. What are you doing differently?,question
0_0_d93.wav,What's your name?,question
0_0_d94.wav,"Hi, Kerry. Did your husband make cooking for you?",question
0_0_d96.wav,Where's Tom this evening?,question
0_0_d97.wav,What kind of cuisine do you have?,question
0_0_d103.wav,"May, umm...  is this the Hall of Ancient China?",question
0_0_d106.wav,Umm what's the time now?,question
0_0_d118.wav,Martha. What's wrong? Why are you crying?,question
0_0_d120.wav,"Lily, can you take part in our picnic this weekend?",directive
0_0_d124.wav,"Where to, ma'am?",question
0_0_d125.wav,How's your brother doing?,question
0_0_d134.wav,"You are from the travel agency, aren't you?",question
0_0_d135.wav,Are there pets allowed in this apartment?,question
0_0_d138.wav,What do you need?,question
0_0_d140.wav,May I help you?,question
0_0_d148.wav,Umm are you a smoker?,question
0_0_d150.wav,Hi. Can I help you with anything?,question
0_0_d151.wav,Excuse me. How much is the chocolate bar?,question
0_0_d154.wav,Did you see May today?,question
0_0_d155.wav,"Have you been taken care of, miss?",question
0_0_d161.wav,Excuse me. Would you like a drink before your meal?,directive
0_0_d164.wav,Can I take your order?,directive
0_0_d166.wav,Umm excuse me. Do you know where I can find the nearest ICCC?,question
0_0_d169.wav,"Umm I'm checking out now. Can I have my bill, please?",directive
0_0_d174.wav,"Good afternoon, may I help you?",question
0_0_d177.wav,"Can I give you a lift home, Mrs. Word?",directive
0_0_d188.wav,May I help you?,question
0_0_d193.wav,To which gate do I need to go to catch connecting flight seven-o-seven to New York City?,question
0_0_d194.wav,How have you been feeling lately?,question
0_0_d195.wav,Anything I can do for you?,question
0_0_d200.wav,"Hi, Lucy. What are you going to do this weekend?",question
0_0_d201.wav,Have you ever done your shopping at Whole Foods market?,question
0_0_d202.wav,How about a movie tonight?,question
0_0_d204.wav,"Hey, How's it going?",question
0_0_d214.wav,What's your favorite magazine?,question
0_0_d218.wav,Are you free this afternoon?,question
0_0_d224.wav,Would you like to come over for dinner tonight?,directive
0_0_d232.wav,Operator. Can I help you?,question
0_0_d233.wav,Does it look too small?,question
0_0_d234.wav,"Susan, did you know the four ugliest women in ancient China?",question
0_0_d235.wav,"Hi Wei, what are you going to do this weekend?",question
0_0_d237.wav,"Excuse me, Is this the bus I should take to get to the Central Park?",question
0_0_d240.wav,Hello. May I help you?,question
0_0_d247.wav,"Would you like any toast, dear?",question
0_0_d257.wav,Hello. This is the Customer service. How can I help you?,question
0_0_d260.wav,"I think I need some iced water, too. Is there an extra charge for that?",question
0_0_d261.wav,"Can I help you, Madam?",question
0_0_d262.wav,"Good. There is the information desk. How do we get to seventieth street, please?",directive
0_0_d268.wav,Hey! Are you getting dressed?,question
0_0_d269.wav,"So, Emily, how was your day?",question
0_0_d275.wav,"Reservation, may I help you?",question
0_0_d277.wav,How may I help you?,question
0_0_d279.wav,Who stands out in your mind as a man or woman of sound character?,question
0_0_d282.wav,Excuse me. Do you know how to get to the mall?,question
0_0_d283.wav,May I have a word with you?,question
0_0_d288.wav,"Hi, Sue. What's up?",question
0_0_d294.wav,May I come in?,directive
0_0_d300.wav,May I help you?,question
0_0_d305.wav,"Excuse me, could you spare me a few minutes?",directive
0_0_d308.wav,Are you ready to go to the concert?,question
0_0_d309.wav,"Good evening, madam. Can I help you?",question
0_0_d312.wav,"Hey, guys! Did you see that sign?",question
0_0_d316.wav,Is there a swimming pool in this hotel?,question
0_0_d317.wav,Excuse me. Something is wrong with my bank card. Umm can you help me?,directive
0_0_d325.wav,Umm is this the foreign exchange department?,question
0_0_d326.wav,What can I do?,question
0_0_d327.wav,Where do you want to go?,question
0_0_d328.wav,"Hello, reservation desk. How can I help you?",question
0_0_d330.wav,What can I show you?,question
0_0_d333.wav,Do you drive a car yourself?,question
0_0_d335.wav,"Hi, could we have two orange juice smoothies?",directive
0_0_d336.wav,"Good afternoon, is there anything I can do for you?",question
0_0_d340.wav,Umm are you ready to go to the supermarket?,question
0_0_d341.wav,Have you given the puppies anything to eat today?,question
0_0_d342.wav,Can I help you?,question
0_0_d343.wav,"What’s the matter, dear?",question
0_0_d344.wav,"Taylor, can you tell me how to apply for a job on the Internet?",directive
0_0_d351.wav,Do you like cooking?,question
0_0_d357.wav,"Are you free this weekend, Miss Rose?",question
0_0_d358.wav,"So, Karen, what do you do in your free time?",question
0_0_d362.wav,"Good afternoon, miss, can I help you?",question
0_0_d363.wav,Can you tell me a little about Paris?,directive
0_0_d373.wav,Do you like ethnic food?,question
0_0_d378.wav,Do you like animals?,question
0_0_d386.wav,"Ms. Gray, would you please type this report for me?",directive
0_0_d387.wav,"May I have my bill, please?",directive
0_0_d392.wav,Do you have a reservation?,question
0_0_d394.wav,"Lousy weather, isn't it?",question
0_0_d395.wav,"Umm excuse me, do you go to the Central Park?",question
0_0_d396.wav,I will take the coat. Do you receive checks?,question
0_0_d401.wav,What's your favourite steps?,question
0_0_d410.wav,Have you finished going through the contract?,question
0_0_d412.wav,"Where are you going, Jane?",question
0_0_d426.wav,"Are you being served, madam?",question
0_0_d431.wav,"Excuse me, how can I get special discount coupons?",question
0_0_d434.wav,Have you decided on something?,question
0_0_d439.wav,Umm what do you do?,question
0_0_d440.wav,"Hi, Li Ming. You look upset. What's the matter?",question
0_0_d442.wav,"What else, ma'am?",question
0_0_d449.wav,Am I ever hungry? When will supper be ready?,question
0_0_d451.wav,Do I check in for the train D-eight-O-eight to Shanghai here?,question
0_0_d454.wav,"Hey, Susie, what health club do you belong to?",question
0_0_d463.wav,Want to meet for lunch this Saturday?,directive
0_0_d465.wav,Something wrong?,question
0_0_d469.wav,Can I help you?,directive
0_0_d470.wav,Have you ever been to Britain?,question
0_0_d471.wav,"Hello, is this People's Theater?",question
0_0_d476.wav,"Good evening, do you have a reservation?",question
0_0_d480.wav,"Lisa, would you like to go to the library with me?",directive
0_0_d481.wav,Can you assure the quality of this air conditioner?,directive
0_0_d483.wav,Did you hear how cold it got last night?,question
0_0_d497.wav,May I take your order now?,directive
0_0_d501.wav,How can I help you?,question
0_0_d507.wav,"Hey, Ann. You don't have a pen, do you?",question
